id;nombre_proyecto;objetivo;tiempo_proyecto;fecha_inicio;fecha_fin
1;phew;jiggle unimpressively;24677;2025-03-28;2025-03-29
2;brr;ick;30562;2025-03-28;2025-03-28
3;relaunch palatable generally;aha;11289;2025-03-28;2025-03-28
4;inconsequential substantiate negative;trustworthy;14305;2025-03-28;2025-03-28
5;gleefully dearly which;since display;17021;2025-03-28;2025-03-28
6;pace qua deploy;sometimes;10550;2025-03-28;2025-03-28
7;nab coolly;where enroll;10900;2025-03-28;2025-03-28
8;until out;below yippee;6943;2025-03-28;2025-03-29
9;bakeware too from;apud crooked;4640;2025-03-28;2025-03-28
10;lest when now;aw neaten brochure;212;2025-03-28;2025-03-28
